,time_(s),FRAP_exp_0,FRAP_exp_1,FRAP_exp_2,FRAP_exp_3,FRAP_exp_4,FRAP_exp_5,FRAP_exp_6,FRAP_exp_7
0,0.0,1258351.0,1313857.0,1298173.0,1130039.0,1422950.0,1426729.0,1315717.0,1339639.0
1,0.188,1226491.0,1319980.0,1327087.0,1111820.0,1400194.0,1412738.0,1346119.0,1346634.0
2,0.376,1243423.0,1321047.0,1285086.0,1149348.0,1405642.0,1417820.0,1331615.0,1339013.0
3,0.5640000000000001,1260316.0,1324294.0,1267383.0,1106456.0,1413989.0,1374510.0,1325700.0,1368417.0
4,0.752,1231358.0,1305456.0,1252818.0,1105251.0,1396514.0,1417696.0,1318447.0,1367902.0
5,0.94,1243840.0,1311764.0,1261929.0,1098428.0,1403290.0,1403809.0,1291527.0,1356514.0
6,1.1280000000000001,1242022.0,1310679.0,1290536.0,1114567.0,1389645.0,1405179.0,1293730.0,1347602.0
7,1.316,1241734.0,1333153.0,1259086.0,1131828.0,1389098.0,1400996.0,1289367.0,1336511.0
8,1.504,1247661.0,1301389.0,1241491.0,1125207.0,1407280.0,1391143.0,1277329.0,1325866.0
9,1.692,1239860.0,1321014.0,1286606.0,1103530.0,1405950.0,1429754.0,1303822.0,1349531.0
10,1.88,1225789.0,1290379.0,1252746.0,1117788.0,1384660.0,1373908.0,1301575.0,1355794.0
11,2.068,1261814.0,1334248.0,1259699.0,1094961.0,1366597.0,1403874.0,1293454.0,1348678.0
12,2.2560000000000002,1224190.0,1318501.0,1259712.0,1090884.0,1408826.0,1391797.0,1308581.0,1327591.0
13,2.444,1236676.0,1313724.0,1232456.0,1111047.0,1392162.0,1362924.0,1296645.0,1334193.0
14,2.632,1249288.0,1323229.0,1253710.0,1091923.0,1363046.0,1356473.0,1352374.0,1323676.0
15,2.82,1233799.0,1317236.0,1251713.0,1096795.0,1381565.0,1388009.0,1285164.0,1341300.0
