,label,area (sq µm),division_number,division_period,division_length,prior_length
0,0,976,0,0,0,0
1,1,552,0,0,0,0
2,2,551,0,0,0,0
3,3,568,0,0,0,0
4,4,554,0,0,0,0
5,5,559,0,0,0,0
6,6,558,0,0,0,0
7,7,571,0,0,0,0
8,8,567,0,0,0,0
9,9,576,0,0,0,0
10,10,582,0,0,0,0
11,11,593,0,0,0,0
12,12,582,0,0,0,0
13,13,588,0,0,0,0
14,14,585,0,0,0,0
15,15,590,0,0,0,0
16,16,594,0,0,0,0
17,17,600,0,0,0,0
18,18,611,0,0,0,0
19,19,601,0,0,0,0
20,20,613,0,0,0,0
21,21,628,0,0,0,0
22,22,613,0,0,0,0
23,23,616,0,0,0,0
24,24,620,0,0,0,0
25,25,634,0,0,0,0
26,26,637,0,0,0,0
27,27,640,0,0,0,0
28,28,642,0,0,0,0
29,29,653,0,0,0,0
30,30,643,0,0,0,0
31,31,656,0,0,0,0
32,32,652,0,0,0,0
33,33,657,0,0,0,0
34,34,661,0,0,0,0
35,35,656,0,0,0,0
36,36,660,0,0,0,0
37,37,680,0,0,0,0
38,38,683,0,0,0,0
39,39,688,0,0,0,0
40,40,683,0,0,0,0
41,41,686,0,0,0,0
42,42,692,0,0,0,0
43,43,703,0,0,0,0
44,44,698,0,0,0,0
45,45,713,0,0,0,0
46,46,719,0,0,0,0
47,47,722,0,0,0,0
48,48,734,0,0,0,0
49,49,741,0,0,0,0
50,50,738,0,0,0,0
51,51,739,0,0,0,0
52,52,739,0,0,0,0
53,53,756,0,0,0,0
54,54,758,0,0,0,0
55,55,777,0,0,0,0
56,56,773,0,0,0,0
57,57,785,0,0,0,0
58,58,773,0,0,0,0
59,59,775,0,0,0,0
60,60,796,0,0,0,0
61,61,794,0,0,0,0
62,62,794,0,0,0,0
63,63,808,0,0,0,0
64,64,806,0,0,0,0
65,65,807,0,0,0,0
66,66,814,0,0,0,0
67,67,812,0,0,0,0
68,68,838,0,0,0,0
69,69,822,0,0,0,0
70,70,831,0,0,0,0
71,71,839,0,0,0,0
72,72,844,0,0,0,0
73,73,849,0,0,0,0
