,label,area (sq µm)
0,0,1046
1,1,435
2,2,606
3,3,610
4,4,632
5,5,618
6,6,610
7,7,0
8,8,0
9,9,641
10,10,646
11,11,659
12,12,671
13,13,652
14,14,660
15,15,648
16,16,657
17,17,653
18,18,660
19,19,0
20,20,662
21,21,0
22,22,0
23,23,671
24,24,682
25,25,0
26,26,0
27,27,598
28,28,588
29,29,0
30,30,0
31,31,0
32,32,731
33,33,727
34,34,732
35,35,737
36,36,729
37,37,767
38,38,777
39,39,760
40,40,766
41,41,786
42,42,779
43,43,794
44,44,0
45,45,793
46,46,0
47,47,821
48,48,827
49,49,827
50,50,828
51,51,842
52,52,848
53,53,0
54,54,0
55,55,0
56,56,0
57,57,890
58,58,0
59,59,897
60,60,898
61,61,908
62,62,921
63,63,915
64,64,925
65,65,920
66,66,928
67,67,919
68,68,948
69,69,946
70,70,939
71,71,941
72,72,950
73,73,959
74,74,969
75,75,962
76,76,972
77,77,976
78,78,857
79,79,928
80,80,993
81,81,984
82,82,1006
83,83,942
84,84,1029
85,85,1035
86,86,1031
87,87,1040
88,88,1037
89,89,1035
90,90,1057
91,91,1066
92,92,1049
93,93,1063
94,94,608
95,95,623
96,96,647
97,97,917
98,98,897
99,99,615
100,100,654
101,101,670
102,102,681
103,103,688
104,104,696
105,105,700
106,106,703
107,107,703
108,108,0
109,109,696
110,110,712
111,111,734
112,112,720
113,113,720
114,114,731
115,115,734
116,116,742
117,117,727
118,118,745
119,119,760
120,120,742
121,121,761
122,122,749
123,123,756
124,124,768
125,125,1046
126,126,778
127,127,788
128,128,793
129,129,802
130,130,803
131,131,805
132,132,802
133,133,821
134,134,827
135,135,830
136,136,825
137,137,830
138,138,846
139,139,850
140,140,868
141,141,870
142,142,863
143,143,868
144,144,880
145,145,878
146,146,879
147,147,873
148,148,903
149,149,905
150,150,903
151,151,909
152,152,922
153,153,908
154,154,926
155,155,939
156,156,936
157,157,946
158,158,958
159,159,949
160,160,953
161,161,960
162,162,973
163,163,974
164,164,976
165,165,990
166,166,1002
167,167,1004
168,168,994
169,169,1000
170,170,1005
171,171,1013
172,172,1016
173,173,1020
174,174,1022
175,175,1030
176,176,1036
177,177,1052
178,178,1044
179,179,1052
180,180,1036
181,181,1026
182,182,983
183,183,999
184,184,1082
185,185,1055
186,186,1085
187,187,1097
188,188,1063
189,189,627
190,190,649
191,191,1029
192,192,956
193,193,0
194,194,672
195,195,674
196,196,665
197,197,696
198,198,701
199,199,718
200,200,708
201,201,713
202,202,720
203,203,703
204,204,726
205,205,732
206,206,749
207,207,724
208,208,760
209,209,759
210,210,775
211,211,705
212,212,772
213,213,770
214,214,788
215,215,799
216,216,781
217,217,775
218,218,771
219,219,783
220,220,794
221,221,808
222,222,803
223,223,802
224,224,811
225,225,826
226,226,827
227,227,821
228,228,849
229,229,832
230,230,847
231,231,838
232,232,872
233,233,854
234,234,857
235,235,862
236,236,856
237,237,884
238,238,865
239,239,885
240,240,899
241,241,913
242,242,913
243,243,894
244,244,940
245,245,926
246,246,949
247,247,952
248,248,949
249,249,963
250,250,969
251,251,989
252,252,977
253,253,1008
254,254,1008
255,255,1019
256,256,1003
257,257,1017
258,258,1036
259,259,1018
260,260,1039
261,261,1041
262,262,1045
263,263,1060
264,264,1053
265,265,1064
266,266,1071
267,267,1039
268,268,1076
269,269,1084
270,270,1083
271,271,1098
272,272,1103
273,273,1081
274,274,1104
275,275,1144
276,276,1139
277,277,1143
278,278,1135
279,279,1167
280,280,1154
281,281,1181
282,282,1186
283,283,1195
284,284,1192
285,285,1188
286,286,1212
287,287,1213
288,288,1209
289,289,1206
290,290,1238
291,291,1245
292,292,1249
293,293,1234
294,294,1230
295,295,722
296,296,1286
297,297,1187
298,298,1234
299,299,1296
300,300,0
301,301,0
302,302,0
303,303,0
304,304,799
305,305,790
306,306,774
307,307,792
308,308,797
309,309,798
310,310,800
311,311,804
312,312,817
313,313,823
314,314,825
315,315,830
316,316,846
317,317,835
318,318,836
319,319,842
320,320,850
321,321,862
322,322,883
323,323,875
324,324,879
325,325,874
326,326,874
327,327,886
328,328,893
329,329,909
330,330,917
331,331,911
332,332,903
333,333,924
334,334,937
335,335,934
336,336,938
337,337,946
338,338,956
339,339,961
340,340,942
341,341,979
342,342,976
343,343,978
344,344,995
345,345,1000
346,346,1005
347,347,998
348,348,997
349,349,984
350,350,1026
351,351,1044
352,352,1028
353,353,1001
354,354,1016
355,355,1051
356,356,1056
357,357,1063
358,358,1054
359,359,1043
360,360,1072
361,361,1091
362,362,1090
363,363,1073
364,364,1072
365,365,1127
366,366,1121
367,367,1102
368,368,1132
369,369,1096
370,370,1119
371,371,1121
372,372,1121
373,373,1140
374,374,1137
375,375,1138
376,376,1142
377,377,1171
378,378,1152
379,379,1162
380,380,1193
381,381,1172
382,382,1220
383,383,1229
384,384,1211
385,385,1207
386,386,676
387,387,672
388,388,694
389,389,698
390,390,675
391,391,698
392,392,693
393,393,696
394,394,714
395,395,683
396,396,693
397,397,736
398,398,712
399,399,723
400,400,721
401,401,747
402,402,752
403,403,750
404,404,762
405,405,755
406,406,773
407,407,765
408,408,764
409,409,781
410,410,753
411,411,789
412,412,792
413,413,805
414,414,794
415,415,790
416,416,801
417,417,810
418,418,815
419,419,819
420,420,821
421,421,827
422,422,834
423,423,845
424,424,848
425,425,852
426,426,849
427,427,859
428,428,857
