,Unnamed: 0,label,area (sq µm),division_number,division_period,division_length,prior_length
0,0,0,1046,0,0,0,0
1,1,1,1046,0,0,0,0
2,2,2,606,0,0,0,0
3,3,3,610,0,0,0,0
4,4,4,632,0,0,0,0
5,5,5,618,0,0,0,0
6,6,6,610,0,0,0,0
7,7,7,0,0,0,0,0
8,8,8,0,0,0,0,0
9,9,9,641,0,0,0,0
10,10,10,646,0,0,0,0
11,11,11,659,0,0,0,0
12,12,12,671,0,0,0,0
13,13,13,652,0,0,0,0
14,14,14,660,0,0,0,0
15,15,15,648,0,0,0,0
16,16,16,657,0,0,0,0
17,17,17,653,0,0,0,0
18,18,18,660,0,0,0,0
19,19,19,660,0,0,0,0
20,20,20,662,0,0,0,0
21,21,21,0,0,0,0,0
22,22,22,0,0,0,0,0
23,23,23,671,0,0,0,0
24,24,24,682,0,0,0,0
25,25,25,0,0,0,0,0
26,26,26,0,0,0,0,0
27,27,27,598,0,0,0,0
28,28,28,588,0,0,0,0
29,29,29,0,0,0,0,0
30,30,30,0,0,0,0,0
31,31,31,0,0,0,0,0
32,32,32,731,0,0,0,0
33,33,33,727,0,0,0,0
34,34,34,732,0,0,0,0
35,35,35,737,0,0,0,0
36,36,36,729,0,0,0,0
37,37,37,767,0,0,0,0
38,38,38,777,0,0,0,0
39,39,39,760,0,0,0,0
40,40,40,766,0,0,0,0
41,41,41,786,0,0,0,0
42,42,42,779,0,0,0,0
43,43,43,794,0,0,0,0
44,44,44,794,0,0,0,0
45,45,45,793,0,0,0,0
46,46,46,793,0,0,0,0
47,47,47,821,0,0,0,0
48,48,48,827,0,0,0,0
49,49,49,827,0,0,0,0
50,50,50,828,0,0,0,0
51,51,51,842,0,0,0,0
52,52,52,848,0,0,0,0
53,53,53,0,1,53,848,1696
54,54,54,0,0,0,0,0
55,55,55,0,0,0,0,0
56,56,56,0,0,0,0,0
57,57,57,890,0,0,0,0
58,58,58,890,0,0,0,0
59,59,59,897,0,0,0,0
60,60,60,898,0,0,0,0
61,61,61,908,0,0,0,0
62,62,62,921,0,0,0,0
63,63,63,915,0,0,0,0
64,64,64,925,0,0,0,0
65,65,65,920,0,0,0,0
66,66,66,928,0,0,0,0
67,67,67,919,0,0,0,0
68,68,68,948,0,0,0,0
69,69,69,946,0,0,0,0
70,70,70,939,0,0,0,0
71,71,71,941,0,0,0,0
72,72,72,950,0,0,0,0
73,73,73,959,0,0,0,0
74,74,74,969,0,0,0,0
75,75,75,962,0,0,0,0
76,76,76,972,0,0,0,0
77,77,77,976,0,0,0,0
78,78,78,857,0,0,0,0
79,79,79,928,0,0,0,0
80,80,80,993,0,0,0,0
81,81,81,984,0,0,0,0
82,82,82,1006,0,0,0,0
83,83,83,942,0,0,0,0
84,84,84,1029,0,0,0,0
85,85,85,1035,0,0,0,0
86,86,86,1031,0,0,0,0
87,87,87,1040,0,0,0,0
88,88,88,1037,0,0,0,0
89,89,89,1035,0,0,0,0
90,90,90,1057,0,0,0,0
91,91,91,1066,0,0,0,0
92,92,92,1049,0,0,0,0
93,93,93,1063,0,0,0,0
94,94,94,608,2,41,455,1518
95,95,95,623,0,0,0,0
96,96,96,623,0,0,0,0
97,97,97,917,0,0,0,0
98,98,98,897,0,0,0,0
99,99,99,615,0,0,0,0
100,100,100,654,0,0,0,0
101,101,101,670,0,0,0,0
102,102,102,681,0,0,0,0
103,103,103,688,0,0,0,0
104,104,104,696,0,0,0,0
105,105,105,700,0,0,0,0
106,106,106,703,0,0,0,0
107,107,107,703,0,0,0,0
