,Unnamed: 0,label,area (sq µm),division_number,division_period
0,0,0,1249.0,0,0
1,1,1,759.0,0,0
2,2,2,750.0,0,0
3,3,3,764.0,0,0
4,4,4,771.0,0,0
5,5,5,682.0,0,0
6,6,6,686.0,0,0
7,7,7,775.0,0,0
8,8,8,692.0,0,0
9,9,9,697.0,0,0
10,10,10,713.0,0,0
11,11,11,791.0,0,0
12,12,12,795.0,0,0
13,13,13,816.0,0,0
14,14,14,809.0,0,0
15,15,15,825.0,0,0
16,16,16,821.0,0,0
17,17,17,734.0,0,0
18,18,18,746.0,0,0
19,19,19,745.0,0,0
20,20,20,843.0,0,0
21,21,21,753.0,0,0
22,22,22,848.0,0,0
23,23,23,867.0,0,0
24,24,24,853.0,0,0
25,25,25,774.0,0,0
26,26,26,783.0,0,0
27,27,27,874.0,0,0
28,28,28,780.0,0,0
29,29,29,876.0,0,0
30,30,30,881.0,0,0
31,31,31,884.0,0,0
32,32,32,876.0,0,0
33,33,33,902.0,0,0
34,34,34,904.0,0,0
35,35,35,905.0,0,0
36,36,36,843.0,0,0
37,37,37,933.0,0,0
38,38,38,928.0,0,0
39,39,39,920.0,0,0
40,40,40,938.0,0,0
41,41,41,949.0,0,0
42,42,42,949.0,0,0
43,43,43,876.0,0,0
44,44,44,959.0,0,0
45,45,45,974.0,0,0
46,46,46,894.0,0,0
47,47,47,915.0,0,0
48,48,48,904.0,0,0
49,49,49,914.0,0,0
50,50,50,963.0,0,0
51,51,51,922.0,0,0
52,52,52,949.0,0,0
53,53,53,939.0,0,0
54,54,54,951.0,0,0
55,55,55,944.0,0,0
56,56,56,952.0,0,0
57,57,57,962.0,0,0
58,58,58,971.0,0,0
59,59,59,974.0,0,0
60,60,60,978.0,0,0
61,61,61,971.0,0,0
62,62,62,988.0,0,0
63,63,63,981.0,0,0
64,64,64,1001.0,0,0
65,65,65,1025.0,0,0
66,66,66,1008.0,0,0
67,67,67,1017.0,0,0
68,68,68,1027.0,0,0
69,69,69,1029.0,0,0
70,70,70,1033.0,0,0
71,71,71,1027.0,0,0
72,72,72,1064.0,0,0
73,73,73,1056.0,0,0
74,74,74,1079.0,0,0
75,75,75,1074.0,0,0
76,76,76,1086.0,0,0
77,77,77,1090.0,0,0
78,78,78,1112.0,0,0
79,79,79,1104.0,0,0
80,80,80,1121.0,0,0
81,81,81,1122.0,0,0
82,82,82,1131.0,0,0
83,83,83,1143.0,0,0
84,84,84,1135.0,0,0
85,85,85,1136.0,0,0
86,86,86,1127.0,0,0
87,87,87,1138.0,0,0
88,88,88,685.0,0,0
89,89,89,1183.0,0,0
90,90,90,1154.0,0,0
91,91,91,697.0,1,91
92,92,92,649.0,0,0
93,93,93,665.0,0,0
94,94,94,761.0,0,0
95,95,95,778.0,0,0
96,96,96,782.0,0,0
97,97,97,710.0,0,0
98,98,98,787.0,0,0
99,99,99,724.0,0,0
100,100,100,803.0,0,0
101,101,101,803.0,0,0
102,102,102,724.0,0,0
103,103,103,729.0,0,0
104,104,104,746.0,0,0
105,105,105,737.0,0,0
106,106,106,739.0,0,0
107,107,107,741.0,0,0
108,108,108,817.0,0,0
109,109,109,834.0,0,0
110,110,110,772.0,0,0
111,111,111,832.0,0,0
112,112,112,775.0,0,0
113,113,113,781.0,0,0
114,114,114,784.0,0,0
115,115,115,791.0,0,0
116,116,116,866.0,0,0
117,117,117,884.0,0,0
118,118,118,886.0,0,0
119,119,119,810.0,0,0
120,120,120,888.0,0,0
121,121,121,821.0,0,0
122,122,122,904.0,0,0
123,123,123,825.0,0,0
124,124,124,910.0,0,0
125,125,125,1249.0,0,0
126,126,126,851.0,2,35
127,127,127,842.0,0,0
128,128,128,854.0,0,0
129,129,129,864.0,0,0
130,130,130,873.0,0,0
131,131,131,875.0,0,0
132,132,132,880.0,0,0
133,133,133,874.0,0,0
134,134,134,901.0,0,0
135,135,135,888.0,0,0
136,136,136,903.0,0,0
137,137,137,900.0,0,0
138,138,138,919.0,0,0
139,139,139,915.0,0,0
140,140,140,923.0,0,0
141,141,141,932.0,0,0
142,142,142,927.0,0,0
143,143,143,948.0,0,0
144,144,144,945.0,0,0
145,145,145,943.0,0,0
146,146,146,957.0,0,0
147,147,147,965.0,0,0
148,148,148,979.0,0,0
149,149,149,983.0,0,0
150,150,150,986.0,0,0
151,151,151,987.0,0,0
152,152,152,991.0,0,0
153,153,153,1006.0,0,0
154,154,154,1003.0,0,0
155,155,155,1021.0,0,0
156,156,156,1007.0,0,0
157,157,157,1042.0,0,0
158,158,158,1015.0,0,0
159,159,159,1046.0,0,0
160,160,160,1049.0,0,0
161,161,161,1049.0,0,0
162,162,162,1071.0,0,0
163,163,163,1064.0,0,0
164,164,164,1063.0,0,0
165,165,165,1077.0,0,0
166,166,166,1076.0,0,0
167,167,167,1078.0,0,0
168,168,168,1103.0,0,0
169,169,169,1098.0,0,0
170,170,170,1111.0,0,0
171,171,171,1128.0,0,0
172,172,172,1134.0,0,0
173,173,173,1147.0,0,0
174,174,174,1129.0,0,0
175,175,175,1143.0,0,0
176,176,176,1165.0,0,0
177,177,177,1156.0,0,0
178,178,178,1163.0,0,0
179,179,179,1173.0,0,0
180,180,180,1155.0,0,0
181,181,181,1170.0,0,0
182,182,182,1189.0,0,0
183,183,183,1191.0,0,0
184,184,184,1186.0,0,0
185,185,185,1223.0,0,0
186,186,186,1209.0,0,0
187,187,187,714.0,3,61
188,188,188,811.0,0,0
189,189,189,734.0,0,0
190,190,190,742.0,0,0
191,191,191,1173.0,0,0
192,192,192,1137.0,0,0
193,193,193,772.0,0,0
194,194,194,754.0,0,0
195,195,195,762.0,0,0
196,196,196,846.0,0,0
197,197,197,786.0,0,0
198,198,198,781.0,0,0
199,199,199,786.0,0,0
200,200,200,790.0,0,0
201,201,201,793.0,0,0
202,202,202,802.0,0,0
203,203,203,797.0,0,0
204,204,204,821.0,0,0
205,205,205,821.0,0,0
206,206,206,819.0,0,0
207,207,207,826.0,0,0
208,208,208,816.0,0,0
209,209,209,821.0,0,0
210,210,210,836.0,0,0
211,211,211,842.0,0,0
212,212,212,861.0,0,0
213,213,213,855.0,0,0
214,214,214,843.0,0,0
215,215,215,855.0,0,0
216,216,216,868.0,0,0
217,217,217,870.0,0,0
218,218,218,886.0,0,0
219,219,219,892.0,0,0
220,220,220,896.0,0,0
221,221,221,903.0,0,0
222,222,222,911.0,0,0
223,223,223,911.0,0,0
224,224,224,904.0,0,0
225,225,225,912.0,0,0
226,226,226,929.0,0,0
227,227,227,942.0,0,0
228,228,228,920.0,0,0
229,229,229,932.0,0,0
230,230,230,935.0,0,0
231,231,231,945.0,0,0
232,232,232,961.0,0,0
233,233,233,975.0,0,0
234,234,234,986.0,0,0
235,235,235,971.0,0,0
236,236,236,995.0,0,0
237,237,237,1012.0,0,0
238,238,238,988.0,0,0
239,239,239,1006.0,0,0
240,240,240,1009.0,0,0
241,241,241,1012.0,0,0
242,242,242,1019.0,0,0
243,243,243,1029.0,0,0
244,244,244,,0,0
245,245,245,1044.0,0,0
246,246,246,1034.0,0,0
247,247,247,1059.0,0,0
248,248,248,,0,0
249,249,249,1059.0,0,0
250,250,250,1062.0,0,0
251,251,251,,0,0
252,252,252,1074.0,0,0
253,253,253,1093.0,0,0
254,254,254,1117.0,0,0
255,255,255,1099.0,0,0
256,256,256,1108.0,0,0
257,257,257,1114.0,0,0
258,258,258,1127.0,0,0
259,259,259,1140.0,0,0
260,260,260,1141.0,0,0
261,261,261,1144.0,0,0
262,262,262,1163.0,0,0
263,263,263,1164.0,0,0
264,264,264,1198.0,0,0
265,265,265,1180.0,0,0
266,266,266,1188.0,0,0
267,267,267,1188.0,0,0
268,268,268,1184.0,0,0
269,269,269,,0,0
270,270,270,1200.0,0,0
271,271,271,1213.0,0,0
272,272,272,1236.0,0,0
273,273,273,1211.0,0,0
274,274,274,1235.0,0,0
275,275,275,1235.0,0,0
276,276,276,1242.0,0,0
277,277,277,1262.0,0,0
278,278,278,1274.0,0,0
279,279,279,,0,0
280,280,280,1302.0,0,0
281,281,281,1301.0,0,0
282,282,282,1303.0,0,0
283,283,283,1333.0,0,0
284,284,284,,0,0
285,285,285,1328.0,0,0
286,286,286,,0,0
287,287,287,1362.0,0,0
288,288,288,1335.0,0,0
289,289,289,784.0,4,102
290,290,290,783.0,0,0
291,291,291,786.0,0,0
292,292,292,801.0,0,0
293,293,293,743.0,0,0
294,294,294,849.0,0,0
295,295,295,807.0,0,0
296,296,296,819.0,0,0
297,297,297,832.0,0,0
298,298,298,829.0,0,0
